item,gate,kind,title,thesis_location,evidence_status,evidence_found,escape_hatch,action
I-1,4,EXTRACT,Complete three-seed manufactured result not shown,"pp. 62, 87-88; Table 6.4",EVIDENCE ON DISK - EXTRACTION REQUIRED,**/manufactured_operator_metrics.json -> 23 file(s),,Emit every seed x N x on/off-support table with means and spreads.
I-2,5,EXTRACT,Time-step order conclusion cannot be reconstructed,"p. 80, pp. 87-89; Tables 6.3, 6.6",EVIDENCE ON DISK - EXTRACTION REQUIRED,**/step7_dt_P0*/seed*_dt*/run_manifest.json -> 23 file(s),,"One row per method/momentum/seed/observable/step triplet with both differences, guarded order, rejection reason, seed spread."
I-3,5,EXTRACT,Reference-convergence orders are unassigned,"p. 89, Table 6.8; App. F pp. 184-185",EVIDENCE ON DISK - EXTRACTION REQUIRED,**/reference_convergence_3level.json -> 2 file(s),,Identified table; the -3.391 outlier is the TDSE P0=20 'both' trace row and its differences are at roundoff.
I-4,5,EXTRACT,MIDPOINT central value at P0=20 absent,"p. 89, Table 6.6",EVIDENCE ON DISK - EXTRACTION REQUIRED,**/step9_repl_P0*/seed*/run_manifest.json -> 12 file(s),,"Report all four seed values, mean and SD for every estimator."
I-5,7,EXTRACT,Identical-support pass incompletely reported,pp. 87-88; Table 6.5,EVIDENCE ON DISK - EXTRACTION REQUIRED,**/kde_gp_identical_support.json -> 52 file(s),,"Report E1, E2, Einf at both momenta, or state which were not evaluated."
I-6,3,REGENERATE,41 retained figures have no complete provenance,pp. 83-155; Figs. 6.1-6.41,EVIDENCE ON DISK - EXTRACTION REQUIRED,**/figure_catalog.json -> 48 file(s),,"SUBMISSION BLOCKER. Regenerate each retained scientific figure from a verified manifest, or remove it."
I-7,3,TEXT,Figure-dependent descriptions not interpretable,pp. 92-148,NO EVIDENCE REQUIRED - THESIS EDIT,,Restrict text to neutral description; do not use as evidence.,Attach a defined metric and number to each retained comparison.
I-8,3,TEXT,Plotting thresholds undefined,pp. 109-117; Figs. 6.13-6.18,NO EVIDENCE REQUIRED - THESIS EDIT,,,State the numerical threshold and rule in every caption; show insensitivity.
I-9,,COMPUTE,Diagnostics divide by undocumented |y0| tail,"p. 73, pp. 133-144",CLOSABLE BY REVIEWER-SANCTIONED NARROWING,,Qualify every multiplier and cloud-weight claim as potentially tail-sensitive.,"Report |y0| distribution and minimum, truncation rule, affected fraction of points and mass, threshold sensitivity."
I-10,,EXTRACT,'Applied source after stabilization' unspecified,pp. 129-131; Fig. 6.29,EVIDENCE MISSING - COMPUTATION REQUIRED,,,"Read the production branch and state the exact formula, or state unambiguously that applied source equals raw source."
