figure_index,original_line,labels,image_files,decision,manifest_id,reason,sentences_removed,original_caption
1,8109,fig:baseline-phasespace-p100,Figures/se_qcle_pbme_P0100_phasespace.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Phase-space benchmark for the Tully dual avoided-crossing model with \(P_0=100\). Rows show SE, grid QCLE, and PBME--KDE. The first and third columns show the traced bath-Wigner field, while the second and fourth columns show the magnitude of the local adiabatic off-diagonal coherence. The PBME field is an adaptive KDE reconstruction of an equal-weight Hamiltonian trajectory ensemble, not a direct grid solution."
2,8123,fig:baseline-phasespace-p40,Figures/se_qcle_pbme_P0040_phasespace.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Phase-space benchmark for \(P_0=40\). SE and grid QCLE retain sharper phase-space structure, while PBME--KDE captures the dominant transported branch and smooths finer features of the trajectory-supported field."
3,8134,fig:baseline-phasespace-p20,Figures/se_qcle_pbme_P0020_phasespace.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Phase-space benchmark for \(P_0=20\). This is the slowest packet in the standard set. The SE and grid-QCLE fields show stronger deformation and local signed Wigner structure, whereas PBME--KDE primarily resolves the broad trajectory-supported branch."
4,8190,fig:baseline-detail-p100,Figures/phasespace_P0100_t00600_diag.png; Figures/phasespace_P0100_t00600_offdiag.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Detailed traced-density and coherence-magnitude panels for \(P_0=100\) at \(t=600\) a.u. The left strip is the \(P\)-marginal and the lower strip is the \(R\)-marginal. PBME is shown through the adaptive KDE reconstruction of the equal-weight trajectory ensemble.
5,8206,fig:baseline-detail-p40,Figures/phasespace_P0040_t01500_diag.png; Figures/phasespace_P0040_t01500_offdiag.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Detailed traced-density and coherence-magnitude panels for \(P_0=40\) at \(t=1500\) a.u. The marginal strips separate changes in coordinate-space shape from changes in the momentum distribution, while the central panel retains their joint correlation."
6,8222,fig:baseline-detail-p20,Figures/phasespace_P0020_t03000_diag.png; Figures/phasespace_P0020_t03000_offdiag.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Detailed traced-density and coherence-magnitude panels for \(P_0=20\) at \(t=3000\) a.u. The low-momentum calculation exhibits the strongest deformation in the standard benchmark set. Fine differences between PBME and the density-level references must be separated from the smoothing introduced by the KDE reconstruction.
7,8257,fig:baseline-coherence-p10,Figures/coherence_P0_0010.0_re.png; Figures/coherence_P0_0010.0_im.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Integrated off-diagonal coherence for the \(P_0=10\) stress test. The upper panel shows the real part and the lower panel shows the imaginary part. This case supplements the phase-space benchmark but is not part of the standard \(P_0\in\{20,40,100\}\) set."
8,8290,fig:baseline-transmission-reflection-p40,Figures/transmission_reflection_dynamics_P0_0040.0.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Momentum-projected channels are shown in the left column and spatially projected channels in the right column. The spatial projection gives the clearest late-time transmission/reflection interpretation after the outgoing packets have separated.
9,8322,fig:baseline-asymptotic-ratios,Figures/asymptotic_ratios_panel_trace.png; Figures/asymptotic_ratios_panel_lambda.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Trace consistency and asymptotic diabatic-population ratios across the benchmark momentum sweep. The trace is a numerical consistency check; the phase-space and marginal comparisons remain the primary evidence for the quality of the density representation.
10,8468,fig:four-method-marginals-p100,Figures/Panel_density_P0_100.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Shape-normalized nuclear coordinate and momentum marginals for SE, grid QCLE, GP-supported PBME, and MIDPOINT with \(P_0=100\). The upper row shows the coordinate marginal and the lower row shows the momentum marginal at \(t=0\) and \(600\) a.u. Each curve is normalized independently; the comparison therefore concerns density shape rather than absolute normalization."
11,8512,fig:four-method-marginals-p40,Figures/Panel_density_P0_40.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Shape-normalized nuclear coordinate and momentum marginals for SE, grid QCLE, GP-supported PBME, and MIDPOINT with \(P_0=40\). The upper row shows the coordinate marginal and the lower row shows the momentum marginal at \(t=0\), \(750\), and \(1500\) a.u. The momentum projection reveals substantially greater method dependence than the coordinate projection after passage through the avoided-crossing region."
12,8563,fig:four-method-marginals-p20,Figures/Panel_density_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Shape-normalized nuclear coordinate and momentum marginals for SE, grid QCLE, GP-supported PBME, and MIDPOINT with \(P_0=20\). The upper row shows the coordinate marginal and the lower row shows the momentum marginal at \(t=0\), \(750\), \(1500\), and \(3000\) a.u. The largest method-dependent differences occur after the interaction, particularly in the momentum distribution and its resolved branch structure."
13,8648,fig:four-method-positive-p100,Figures/Panel_density_2d_positive_P0_100.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Positive component of the signed nuclear phase-space density for SE, grid QCLE, GP-supported PBME, and MIDPOINT with \(P_0=100\), shown at \(t=0\) and \(600\) a.u. Each method row has an independent color scale; the comparison therefore concerns phase-space location and morphology rather than color intensity across rows."
14,8665,fig:four-method-negative-p100,Figures/Panel_density_2d_negative_P0_100.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,Magnitude of the negative component of the signed nuclear phase-space density for \(P_0=100\). No negative structure is resolved above the plotting threshold for SE or grid QCLE. Small localized negative features appear in the GP-supported PBME and MIDPOINT reconstructions at \(t=600\) a.u.
15,8721,fig:four-method-positive-p40,Figures/Panel_density_2d_positive_P0_40.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Positive component of the signed nuclear phase-space density for SE, grid QCLE, GP-supported PBME, and MIDPOINT with \(P_0=40\), shown at \(t=0\), \(750\), and \(1500\) a.u. SE and grid QCLE resolve separated post-interaction branches, while the GP-supported PBME and MIDPOINT reconstructions produce broader and more connected structures."
16,8738,fig:four-method-negative-p40,Figures/Panel_density_2d_negative_P0_40.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Magnitude of the negative component of the signed nuclear phase-space density for \(P_0=40\). Grid QCLE develops organized negative bands at the final time, whereas the GP-supported PBME and particularly MIDPOINT reconstructions display broader and more fragmented negative structures."
17,8801,fig:four-method-positive-p20,Figures/Panel_density_2d_positive_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Positive component of the signed nuclear phase-space density for SE, grid QCLE, GP-supported PBME, and MIDPOINT with \(P_0=20\), shown at \(t=0\), \(750\), \(1500\), and \(3000\) a.u. The largest differences occur after the interaction: SE and grid QCLE retain organized phase-space branches, PBME produces a broad connected packet, and MIDPOINT develops a strongly fragmented positive structure."
18,8819,fig:four-method-negative-p20,Figures/Panel_density_2d_negative_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"Magnitude of the negative component of the signed nuclear phase-space density for \(P_0=20\). Negative structure is below the selected threshold for SE and GP-supported PBME over the displayed times. Grid QCLE develops organized negative branches at \(t=3000\) a.u., whereas MIDPOINT develops increasingly fragmented negative features from \(t=1500\) to \(3000\) a.u."
19,8930,fig:gp-coeff-p20-l1; fig:gp-coeff-p20-negfrac; fig:gp-coeff-p20-ess; fig:gp-coeff-p20-signalign; fig:gp-coefficient-diagnostics-p20,Figures/alpha_l1_P0020.png; Figures/alpha_negative_fraction_P0020.png; Figures/alpha_ess_P0020.png; Figures/alpha_sign_alignment_P0020.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(\|\boldsymbol\zeta\|_1\)
20,8970,fig:gp-coeff-p40-l1; fig:gp-coeff-p40-negfrac; fig:gp-coeff-p40-ess; fig:gp-coeff-p40-signalign; fig:gp-coefficient-diagnostics-p40,Figures/alpha_l1_P0040.png; Figures/alpha_negative_fraction_P0040.png; Figures/alpha_ess_P0040.png; Figures/alpha_sign_alignment_P0040.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(\|\boldsymbol\zeta\|_1\)
21,9010,fig:gp-coeff-p100-l1; fig:gp-coeff-p100-negfrac; fig:gp-coeff-p100-ess; fig:gp-coeff-p100-signalign; fig:gp-coefficient-diagnostics-p100,Figures/alpha_l1_P0100.png; Figures/alpha_negative_fraction_P0100.png; Figures/alpha_ess_P0100.png; Figures/alpha_sign_alignment_P0100.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(\|\boldsymbol\zeta\|_1\)
22,9094,fig:loo-max-p20; fig:loo-max-p40; fig:loo-max-p100; fig:loo-max-errors,Figures/loo_max_P0020.png; Figures/loo_max_P0040.png; Figures/loo_max_P0100.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(P_0=20\)
23,9125,fig:loo-rms-p20; fig:loo-rms-p40; fig:loo-rms-p100; fig:loo-rms-errors,Figures/loo_rms_P0020.png; Figures/loo_rms_P0040.png; Figures/loo_rms_P0100.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,\(P_0=20\)
24,9197,fig:results-fit-mae-p100; fig:results-fit-rms-p100; fig:results-fit-mae-p40; fig:results-fit-rms-p40; fig:results-fit-mae-p20; fig:results-fit-rms-p20; fig:results-gp-fit-errors-all-p0,Figures/fit_mae_P0_100.png; Figures/fit_rms_P0_100.png; Figures/fit_mae_P0_40.png; Figures/fit_rms_P0_40.png; Figures/fit_mae_P0_20.png; Figures/fit_rms_P0_20.png,DELETE - UNPROVENANCED,NONE,No complete immutable configuration; all 41 legacy figure environments and their dependent Chapter 6 narrative were removed.,Original Chapter 6 replaced in full by verified table-driven evidence.,"MAE, \(P_0=100\)."
